iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
13,1.2991619110107422,-555.5014926393228,19.58979876639924,-532.9255688999995,-651.3036212640608,0.47509288260256516,0.05,0.04471254348754883,0.41715073585510254,0.025135506,0.10686105,-548.8750201735676,-0.10764006583758766,-2.274397894705716,0.0,3224,0.39322543144226074,4.299306161249074e-05,3.413713199739896e-05,-525.6670720179994
14,1.4561607837677002,-557.1345508922313,15.815875509763492,-534.6496880237552,-606.0114502459986,0.4907162623782202,0.05,0.029511451721191406,0.4919121265411377,0.025472792,0.106955916,-549.7009732454339,-0.10114561403496447,-2.2827149789598695,0.0,3389,0.2506897449493408,5.850103417580095e-05,4.9334259694285484e-05,-509.2399114467392
15,1.4964485168457031,-557.9478399072449,16.13862443605573,-533.6065189831115,-607.1543737580372,0.49635068329227394,0.05,0.04445505142211914,0.33798885345458984,0.025880449,0.10429322,-550.5256599116151,-0.10082509827407896,-2.2865505386544824,0.0,3457,0.6039268970489502,4.834663939325103e-05,4.47163658725373e-05,-507.698672806785
16,1.4856724739074707,-559.280325628923,15.137755666203267,-533.3524954870179,-607.0678663525218,0.507200927179172,0.05,0.0545656681060791,0.40031003952026367,0.02585038,0.10554467,-551.4011264833459,-0.09339246214787351,-2.293409606353402,0.0,3635,0.32686519622802734,6.572485805482078e-05,5.16710759452962e-05,-505.9924583720788
17,1.4658010005950928,-558.6245859288058,15.355835209518158,-532.4046583834985,-639.4912421497821,0.515211994463684,0.05,0.030294418334960938,0.34299445152282715,0.025837779,0.09597937,-552.1234724278919,-0.09192325482554822,-2.2900144696504228,0.0,3653,0.517193078994751,7.141345480868562e-05,6.58595804466516e-05,-507.590491408258
18,1.4687533378601074,-557.1571648519565,15.54981960870307,-526.3825967338397,-606.905241290189,0.5264632326039809,0.05,0.036954402923583984,0.5176806449890137,0.025625525,0.093232736,-552.6268416702984,-0.08669660621161561,-2.2827949535029046,0.0,3651,0.5137903690338135,0.00010798140710676081,9.663302461463868e-05,-504.28127557321585
19,1.5811400413513184,-561.091089399636,18.196035983300437,-529.936843689591,-649.6295906798471,0.5358612299221119,0.05,0.03825187683105469,0.34276795387268066,0.02596047,0.09362745,-553.4732664432322,-0.08417551320602581,-2.302355168508116,0.0,3901,0.7911498546600342,7.539984893105416e-05,6.774423707924791e-05,-503.39988021515893
20,1.5316219329833984,-559.8289324255202,19.87001100052449,-525.7179049504958,-620.301167374453,0.5728862957005261,0.05,0.03606462478637695,0.34645962715148926,0.02588282,0.0869657,-554.108833041461,-0.08496657293425729,-2.2962826532790235,0.0,3918,0.733849048614502,0.00010171240292217504,9.234280118827697e-05,-504.5594357633683
21,1.522977590560913,-556.5285786820251,16.847507546203406,-525.3887625760267,-611.2067963700249,0.5507913289299324,0.05,0.030898571014404297,0.3732929229736328,0.025465226,0.09382558,-554.3508076055175,-0.08027917756952613,-2.2798301066777875,0.0,3781,0.6911840438842773,0.0001169770750065494,0.00010829138029208592,-504.9000544491496
22,1.3630883693695068,-555.560002053565,16.504475521654637,-523.2874845222841,-605.030102792847,0.5379941488100605,0.05,0.0552978515625,0.27935099601745605,0.025135396,0.09179933,-554.4717270503222,-0.08154555345603096,-2.2749390309088926,0.0,3751,0.6412093639373779,9.172995673324467e-05,9.290390694865993e-05,-503.6268082250961
23,1.6174755096435547,-556.5272616710371,18.080275310015377,-533.4067687969239,-622.8814305226671,0.5497350732836134,0.05,0.01326751708984375,0.45287370681762695,0.026077053,0.09289282,-554.6772805123937,-0.08192971912046791,-2.2795689473072174,0.0,3777,0.5785019397735596,0.00010333535167800373,9.181551209227668e-05,-503.65146759984873
24,1.7808921337127686,-553.9909311895632,16.444411073435706,-516.3069906329888,-599.865135434189,0.565219836012038,0.05,0.06318283081054688,0.2750282287597656,0.02565095,0.09215057,-554.6086455801106,-0.07643855208304397,-2.2669830410125598,0.0,3741,0.6817820072174072,0.0001168255671564863,0.00010942028296840311,-503.62023450736234
25,1.4995636940002441,-554.613834198329,19.767545900757128,-520.4753944959834,-642.6371507554446,0.5596409717873132,0.05,0.025999069213867188,0.3161036968231201,0.024617938,0.087237865,-554.6091644419325,-0.07737506995684881,-2.270259437305526,0.0,3763,0.5969266891479492,0.00010479499257788791,0.00010252593749048189,-504.92719714795436
26,1.6833882331848145,-552.0551730437581,17.863433733642708,-514.9585317352206,-641.9753785105064,0.5670578765963827,0.05,0.03128361701965332,0.4933326244354248,0.025900373,0.0861821,-554.3537653021151,-0.07628679248675525,-2.25750081582813,0.0,3686,0.6196575164794922,0.00013381008995270354,0.00012752688153837687,-504.63171098669983
27,1.6348185539245605,-554.7476499104926,16.98528040754486,-524.8423002148378,-618.7734580825718,0.5553886307043977,0.05,0.015909433364868164,0.34340524673461914,0.025009425,0.08951482,-554.3931537629528,-0.07805107363764459,-2.2708695850589122,0.0,3789,0.4787299633026123,9.327996426175153e-05,9.136141549774044e-05,-505.65388507732104
28,1.5804708003997803,-555.8033316095459,20.884729475050143,-509.52469068857545,-632.6881933845583,0.5628697872803023,0.05,0.0629739761352539,0.3574216365814209,0.025689017,0.09040298,-554.5341715476121,-0.07914248291026556,-2.276212183650526,0.0,3950,0.6634294986724854,0.00013068242596535185,0.00012589028786767282,-505.73054221713545
29,1.5934627056121826,-556.3721635308556,21.009790735224726,-519.3720243169671,-690.4232943101954,0.5763234312748082,0.05,0.056636810302734375,0.2562680244445801,0.025177512,0.087604806,-554.7179707459364,-0.08031001463471335,-2.2787733054974826,0.0,3980,0.6866006851196289,0.00010811611247173488,9.787722376054315e-05,-504.227269243094
30,1.8013231754302979,-555.7475748683166,18.54659874479435,-528.7158934283108,-629.438775590439,0.5958643663804247,0.05,0.03338050842285156,0.24581527709960938,0.024740718,0.083264016,-554.8209311581745,-0.07803872129575014,-2.2759591280821687,0.0,3984,0.6068205833435059,0.00011503914094598554,0.00010835086515376854,-505.63527568522363
31,1.5992443561553955,-550.7141528145943,17.16342807054317,-525.3581464534382,-615.5417940164168,0.5854171116432642,0.05,0.05116152763366699,0.4584348201751709,0.025042823,0.085666664,-554.4102533238165,-0.0765859978450348,-2.2509116855962494,0.0,3803,0.656501293182373,0.0001277187492052344,0.00012480142382475468,-505.4913338514193
32,1.545762538909912,-550.3815144597684,19.089886898471168,-510.1216679954216,-628.3556861541775,0.5844832999213277,0.05,0.036658525466918945,0.5064957141876221,0.025087653,0.08416015,-554.0073794374117,-0.07493182825234672,-2.249099825447616,0.0,3769,0.7308399677276611,0.0001337174996091078,0.00011833352327198703,-505.2552586442841
