iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
0,1.786118745803833,-545.5283949140529,12.444440009293407,-527.5416823646057,-620.9519019927665,0.303775845500979,0.05,0.12445783615112305,0.659313440322876,0.024903854,0.16899818,-545.5283949140529,-0.11985862685859823,-2.2246963891596576,0.0,2617,0.37952613830566406,1.0001487123783943,0.9050890173428395,-619.3957443250853
1,1.5388965606689453,-546.6979526324736,11.35586627171155,-533.3853690508075,-588.5090042662335,0.3704476517164977,0.05,0.18073368072509766,1.6355030536651611,0.025902629,0.13271816,-545.645350685895,-0.11679037440744082,-2.2305437837838338,0.0,2700,0.3073389530181885,0.9049611825059347,0.1858345643237733,-649.460274471024
2,1.628124475479126,-546.8938606422045,11.218814523282077,-533.9579288008459,-594.0503009567517,0.44240846346671875,0.05,0.05716419219970703,0.4656798839569092,0.026303915,0.10946254,-545.7702016815259,-0.11767820204822058,-2.2313890595924204,0.0,2715,0.24501943588256836,0.1864883988587928,0.020281033268540066,-662.0622365675497
3,1.4571142196655273,-548.3468259371524,14.224434231604096,-533.4930471587351,-604.0616186155289,0.4403645337850423,0.05,0.034221649169921875,0.47860217094421387,0.024204226,0.10642586,-546.0278641070886,-0.11717156348952387,-2.238604690390448,0.0,2770,0.42118120193481445,0.01998895647654824,0.016243204202197718,-659.1885518195203
4,1.5151779651641846,-546.6942659929172,15.135218837603768,-532.4060032638521,-664.6854028691774,0.39982281067588255,0.05,0.05322742462158203,0.5805947780609131,0.025024483,0.10561595,-546.0945042956714,-0.12114779112023494,-2.2303646059226994,0.0,2678,0.4035196304321289,0.016227824673344465,0.012470685124944116,-666.181010154578
5,1.4304895401000977,-547.2218945071264,11.237225181155534,-535.0139759097076,-584.4151052207412,0.47228350896905913,0.05,0.02520751953125,0.38261914253234863,0.027060311,0.104038194,-546.207243316817,-0.1188677142873451,-2.2330214866196787,0.0,2711,0.2492227554321289,0.01267568157596984,0.007956334302038976,-540.4018674468033
6,1.4984982013702393,-546.0336396777263,10.83552921670084,-534.7690475950837,-593.2549226689164,0.3881790011028442,0.05,0.017725706100463867,0.49966859817504883,0.025627414,0.111270644,-546.189882952908,-0.11947560596925581,-2.2270772224807547,0.0,2637,0.2537226676940918,0.008447297224853066,0.004066318853081001,-598.9156965928854
7,1.4630210399627686,-548.2082275262151,15.002136953769963,-534.4180843046555,-644.5611948640037,0.4478106440654713,0.05,0.015438318252563477,0.33647584915161133,0.02535339,0.09929409,-546.3917174102387,-0.1191647749428269,-2.2379376568350664,0.0,2759,0.3827502727508545,0.003930021358894021,0.001261496519878826,-590.0638554565576
8,1.4589958190917969,-548.6266035756902,14.352810768964574,-532.5203623754842,-619.0195699885843,0.4526093955157277,0.05,0.03347182273864746,0.4714934825897217,0.025202665,0.08164594,-546.6152060267839,-0.11564467858798058,-2.240158197537592,0.0,2793,0.41451334953308105,0.001215152005914502,0.0002478983748651605,-647.001739065856
9,1.4450023174285889,-547.2653450060807,11.926573900773091,-533.6129939652287,-581.0972874714508,0.444600269613657,0.05,0.0323183536529541,0.44076013565063477,0.026095469,0.09980709,-546.6802199247136,-0.11411698720191321,-2.233290449875952,0.0,2770,0.2969670295715332,0.0002732915042384677,8.777629232017998e-05,-558.5825020048973
