iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
10,1.5432119369506836,-550.6425264559956,16.10245641441154,-531.7612304815586,-597.6726924670248,0.4719400788963676,0.05,0.05408906936645508,1.088047742843628,0.024243271,0.1124964,-548.4137737741852,-0.10473847730508767,-2.250344415418124,0.0,3096,0.41560935974121094,6.913525568207159e-05,5.096432229617578e-05,-693.2046607287651
11,1.6038844585418701,-554.2091994033417,18.435844488343932,-533.2249864551029,-625.2601871003313,0.46237172656491105,0.05,0.10560131072998047,0.5534498691558838,0.026549257,0.11668769,-548.9933163371009,-0.10253303914009511,-2.2680868245964096,0.0,3294,0.46278953552246094,5.3664021891919545e-05,4.381624315026332e-05,-547.8756819571933
12,1.8716976642608643,-558.5673532201872,17.462629067501428,-532.3940448743115,-599.94775827489,0.4574271794378759,0.05,0.0619962215423584,0.4315934181213379,0.025868634,0.11543123,-549.9507200254095,-0.09917108897770653,-2.2896857925819023,0.0,3584,0.44763755798339844,4.3657269613856115e-05,3.601672619618473e-05,-531.3618131107418
13,1.7656505107879639,-560.2967256040752,16.241705982771112,-534.0334666432162,-616.387287120745,0.41683463079076627,0.05,0.01819634437561035,0.5104060173034668,0.026586752,0.11093389,-550.9853205832761,-0.09458796637083755,-2.298478769916942,0.0,3779,0.39780187606811523,6.994494660883119e-05,5.052795948242212e-05,-512.4245784602791
14,1.6955721378326416,-564.7018476015893,16.044318965716045,-534.7854557142952,-611.29505951319,0.519951134398954,0.05,0.1387186050415039,0.5175609588623047,0.026063425,0.102715686,-552.3569732851074,-0.088493267861926,-2.3204455845284135,0.0,4113,0.45784902572631836,6.852874789665063e-05,6.149075053723885e-05,-508.4212931611098
15,1.7422552108764648,-565.3614168946515,18.425591298763585,-531.1518990908929,-629.4917304273336,0.5058113416072149,0.05,0.04339313507080078,0.8670475482940674,0.025577161,0.100104876,-553.6574176460618,-0.08997904087988369,-2.323645278536819,0.0,4150,0.4940061569213867,6.972395365654786e-05,6.349903434788197e-05,-506.18983330545524
16,1.7551438808441162,-563.3706866824015,17.386531321405144,-525.9169251582161,-597.9798424912501,0.5073437369762352,0.05,0.04312539100646973,0.7499918937683105,0.02500402,0.09266461,-554.6287445496959,-0.0837578464549644,-2.3137248059805784,0.0,4114,0.7227623462677002,9.006404172224366e-05,6.995304256060463e-05,-506.24278036263667
17,1.715266466140747,-560.4339640432864,18.498536254767306,-525.8802612286147,-624.5228523521291,0.5205240400627691,0.05,0.057471513748168945,0.7454197406768799,0.025024818,0.09561452,-555.2092664990549,-0.0822143638027571,-2.2992375768610667,0.0,4012,0.6620275974273682,9.511984615530044e-05,9.27120995680414e-05,-506.34254690256995
18,1.759078025817871,-560.2402122852866,16.967722315762877,-521.9302345569484,-607.9300033505318,0.5243305092395141,0.05,0.05550074577331543,0.7072644233703613,0.026131118,0.09613574,-555.7123610776781,-0.07950177711057045,-2.2983566605100636,0.0,4050,0.7283217906951904,0.00012181808239038105,0.00011362685167173746,-505.6389675740282
19,1.8091142177581787,-564.2009688582931,20.69753358139802,-521.8946435388594,-628.0640779549519,0.5852296626944224,0.05,0.05327296257019043,0.4456617832183838,0.025755124,0.0857384,-556.5612218557396,-0.07678700564669029,-2.3180938503895265,0.0,4345,0.6954958438873291,0.00011852550513954371,0.00010294748219543282,-504.69532300306884
20,1.9550788402557373,-563.3888467089496,24.19112108600212,-514.5711455195853,-651.3402441407906,0.5511085417541262,0.05,0.12416362762451172,0.7257370948791504,0.025654234,0.09038985,-557.2439843410606,-0.07705387007032173,-2.314217787599181,0.0,4318,0.8525152206420898,0.0001231854166403495,0.00010715455841066837,-505.63581805897894
21,2.0037872791290283,-559.6328780781747,21.11777042886284,-523.877776128814,-614.2411802601368,0.5310632506873618,0.05,0.09002995491027832,0.5050418376922607,0.025000226,0.09494346,-557.482873714772,-0.07411406710628013,-2.2955547620044454,0.0,4173,0.6676743030548096,0.00012044648326213909,0.00011369842647372302,-508.477546218785
22,2.157534122467041,-561.2196046068896,23.20049077658641,-513.6618014776894,-657.6695451375288,0.5291280911176017,0.05,0.038873910903930664,0.5841407775878906,0.025826596,0.097574376,-557.8565468039837,-0.07582139060331708,-2.3032191381446476,0.0,4278,0.8147737979888916,0.00013172776757115968,0.0001246240047065738,-508.1644306608032
23,1.9171233177185059,-566.0395910199384,27.16523103494072,-531.924863404411,-680.077710742878,0.5855820889318883,0.05,0.050637245178222656,0.4592142105102539,0.025598831,0.0846685,-558.6748512255792,-0.07637946374959219,-2.3275218374884763,0.0,4510,0.944767951965332,0.00010297217648551457,9.839502482431746e-05,-508.4124643733879
24,1.8686370849609375,-560.6858410938164,22.32732904059719,-515.7108380776631,-634.1028160987237,0.5410372692898414,0.05,0.09604549407958984,0.3952481746673584,0.025299849,0.09390137,-558.8759502124029,-0.0720455709078192,-2.300719818501815,0.0,4239,0.8682935237884521,0.00012934181004458934,0.00012756006218753586,-508.1232060823067
25,1.686119794845581,-562.3291989346855,23.749753117998715,-517.8529291307688,-637.9617253355942,0.5638364539504992,0.05,0.09140753746032715,0.7011289596557617,0.025573682,0.08857859,-559.2212750846312,-0.07311630245495669,-2.3090982349635514,0.0,4391,0.8562393188476562,0.00013643461985862802,0.00012486445833707213,-506.99042955045644
26,1.6770968437194824,-561.4080300648121,24.49614917505084,-519.0130584713686,-669.3554819185349,0.5425994719973087,0.05,0.07410264015197754,0.5082592964172363,0.025621278,0.09116398,-559.4399505826493,-0.07331098943331901,-2.304365374989504,0.0,4357,0.8897664546966553,0.00013722049083436837,0.0001296010623212925,-505.61985373054176
27,1.9945483207702637,-566.2884915770582,24.124225941036602,-528.675513832486,-630.9632324094896,0.5914182687444699,0.05,0.03371238708496094,0.8005275726318359,0.025363395,0.08427469,-560.1248046820901,-0.07475422337639355,-2.3288860336185926,0.0,4630,0.892892599105835,0.0001129875605347507,0.0001061748111945031,-504.501643052854
28,1.7360401153564453,-564.5125003725013,27.70537652837675,-522.7378071022995,-688.7327349871211,0.5889810049382843,0.05,0.09643268585205078,0.5649466514587402,0.024856076,0.08400837,-560.5635742511313,-0.07240976701709052,-2.3197973695095,0.0,4678,1.0568454265594482,0.0001476774913375814,0.00015327354277693952,-506.502915286773
