iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score
0,1.2956993579864502,-546.1679666804707,13.590984988015231,-529.7460676052075,-611.7218302930157,0.31848338935615306,0.05,0.059078216552734375,0.12452149391174316,0.024691643,0.15840296,-546.1679666804707,-0.11329076968587572,-2.227838171803873,0.0,2786,0.25450730323791504,1.0001740794105098,0.8851761741477202,-607.6949318633879
1,1.3701589107513428,-546.9971860335244,13.388883242900226,-532.6948700439975,-584.7766656679566,0.3916042143399509,0.05,0.061501502990722656,0.38369297981262207,0.026227517,0.12707484,-546.2508886157761,-0.11160451871347842,-2.231975554510354,0.0,2852,0.25446581840515137,0.8851931451891755,0.10107112032382613,-623.873745381527
2,1.4128892421722412,-548.4243153965303,16.58550663608164,-532.0681238371591,-637.3939661350329,0.44928968544247383,0.05,0.056902408599853516,0.4893460273742676,0.024946885,0.10239249,-546.4682312938517,-0.11251076899076877,-2.239105579551796,0.0,2917,0.18863654136657715,0.10036867887617605,0.01657231465800582,-621.6307810610579
3,1.3090271949768066,-549.5010321455923,19.038862349646323,-532.0681965961392,-670.3619311129384,0.46711826935042544,0.05,0.020292043685913086,0.34054994583129883,0.025288478,0.10307446,-546.7715113790257,-0.11103727454053679,-2.244530690240809,0.0,2967,0.32520270347595215,0.01629114745707686,0.012397976264877061,-620.6017195739795
4,1.3371968269348145,-546.2983015368358,16.69947004409492,-531.9651731171753,-681.2062579424428,0.41561786634232767,0.05,0.09509468078613281,0.40456151962280273,0.025106177,0.10273403,-546.7241903948067,-0.11331712083368352,-2.2284572873334483,0.0,2804,0.31858325004577637,0.012554414798130922,0.009186800292285397,-611.2080748053655
5,1.32529616355896,-550.6512089167467,15.366780332975958,-532.5523416453477,-616.5150873546168,0.49614911150142205,0.05,0.060152292251586914,0.43506455421447754,0.026410198,0.0982382,-547.1168922470007,-0.10898778847196275,-2.2503142252377244,0.0,3061,0.38182640075683594,0.008949751233475814,0.006143822308105645,-542.0168089719382
6,1.31947660446167,-547.3931466110159,16.772640696174232,-532.8077090266387,-670.0846011979249,0.4175979854396255,0.05,0.03163647651672363,0.3913447856903076,0.026325589,0.106008194,-547.1445176834022,-0.11337089239974331,-2.2339861402155465,0.0,2840,0.2700343132019043,0.006734697197917142,0.004121683373510889,-681.4889024915126
7,1.329615592956543,-550.3355308149147,16.636993600364296,-531.5267346250844,-616.9622128046688,0.4689377667646677,0.05,0.014311075210571289,0.5173735618591309,0.024332466,0.09416975,-547.4636189965535,-0.10884377001108855,-2.248774198905193,0.0,3040,0.2478647232055664,0.003920794034989402,0.0017753836121619211,-647.4069587825511
8,1.3493835926055908,-548.6584528220584,14.380896782621258,-530.0600734345627,-582.7408380873435,0.4608805192597428,0.05,0.09085249900817871,0.48146820068359375,0.024963291,0.07870236,-547.583102379104,-0.1083502876925273,-2.2404048360152644,0.0,2939,0.24265527725219727,0.0017575444133781483,0.000632558117854512,-677.0330901675634
9,1.384563684463501,-550.5865768972498,17.647317038852687,-533.4548600303857,-635.7848720529931,0.45475721190517376,0.05,0.08715248107910156,0.433042049407959,0.026556069,0.096344195,-547.8834498309186,-0.10647798750201977,-2.2498874119554406,0.0,3084,0.4837477207183838,0.0006351212175609457,0.00019547548229454642,-636.8744197063817
10,1.229241132736206,-549.8631877481699,14.92921577064042,-533.0502273211878,-592.3686396006599,0.5133367771068721,0.05,0.09507632255554199,0.46604013442993164,0.023839979,0.089750625,-548.0814236226438,-0.10633076677355811,-2.2462636079411853,0.0,3017,0.2701406478881836,0.00019084115167148277,7.216147189922666e-05,-626.1375577191658
11,1.3758044242858887,-551.5842354897703,17.619739967695555,-534.0574719765177,-649.8301442725174,0.47851887711269864,0.05,0.05907416343688965,0.5017266273498535,0.025918279,0.10613025,-548.4317048093565,-0.10585516560664979,-2.255030763327785,0.0,3101,0.2209150791168213,8.826053778615808e-05,5.6922991482701965e-05,-616.466918515038
12,1.4664323329925537,-553.4493241729076,18.89085124715227,-532.1220572804917,-637.5827531802202,0.47683155639833347,0.05,0.020218372344970703,0.29578185081481934,0.026291335,0.1033085,-548.9334667457116,-0.10492411957472086,-2.264324661957906,0.0,3230,0.4751322269439697,5.164134638981807e-05,4.113166567086124e-05,-651.6069703950484
